ID,Parvovirus,Habitat_quality,Pride_territory_size,Average_number_neighbours,Territory_overlap,Sex,Despotic,Prides,Immigrations,Yearly_rainfall,Average_Ph ,Vegetation_cover,Avg_group_size,FIV_PCoA1,FIV_PCoA2,Years_since_epidemic,Epidemic_year,Age_exposed
7SD,Negative,92.652,121.833,45,0.787963852,M,ND,C,9,104.58,7.0954,32.6,3,6.958103858,-11.7495785,0,85,12.07
ASKIVAL,Positive,94.261,54.338,0,0.165629946,M,D,P,0,74.92361111,7.005,33.2,8,6.958103858,-11.7495785,2,92,6.28
BFN,Positive,90.887,102.963,0,0.009712227,F,D,P,0,38.15555556,7.005,21.8,3,-43.31722125,-5.893628854,2,92,1
BMG,Negative,87.901,71.858,25,1.00197612,M,ND,P,0,104.58,7.005,28.4,4,6.958103858,-11.7495785,0,85,1.07
BMH,Negative,87.901,71.858,25,1.00197612,M,ND,P,0,104.58,7.005,28.4,4,6.958103858,-11.7495785,0,85,1.07
BUFFALO-BILL,Negative,95.494,58.15,17,0.79105761,M,D,P,0,104.58,6.9,17.3,6,56.59938786,-1.287585531,2,85,4.5
BUFFALO-BOB,Negative,95.494,58.15,17,0.79105761,M,D,P,0,104.58,6.9,17.3,6,-43.31722125,-5.893628854,2,85,6.05
CFB,Negative,95.871,23.12,12,1.384083045,F,D,P,0,104.58,6.995,41.8,13,6.958103858,-11.7495785,0,85,11.86
CFC,Negative,95.871,23.12,12,1.384083045,F,D,P,0,104.58,6.995,41.8,13,1.940824304,85.55400606,0,85,11.99
CFH,Negative,95.871,23.12,12,1.384083045,F,D,P,0,126.625,6.995,41.8,13,56.59938786,-1.287585531,1,85,11.9
CL,Negative,95.871,23.12,12,1.384083045,F,D,P,1,104.58,6.995,41.8,13,6.958103858,-11.7495785,0,85,4.34
CS04,Negative,95.871,23.12,12,1.384083045,M,D,P,0,104.58,6.995,41.8,13,6.958103858,-11.7495785,0,85,1.78
CS06,Negative,95.871,23.12,12,1.384083045,F,D,P,0,104.58,6.995,41.8,13,56.59938786,-1.287585531,0,85,1.77
CS08,Negative,95.871,23.12,12,1.384083045,M,D,P,0,104.58,6.995,41.8,13,56.59938786,-1.287585531,0,85,1.79
CS16,Positive,95.871,23.12,12,1.384083045,F,D,P,0,104.58,6.995,41.8,13,56.59938786,-1.287585531,0,85,1.56
CS22,Positive,95.871,23.12,12,1.384083045,F,D,P,0,104.58,6.995,41.8,13,56.59938786,-1.287585531,0,85,1.16
CS27,Negative,95.871,23.12,12,1.384083045,F,D,P,0,50.82,6.995,41.8,13,56.59938786,-1.287585531,2,85,0
CS29,Negative,95.871,23.12,12,1.384083045,F,D,P,0,50.82,6.995,41.8,13,6.958103858,-11.7495785,2,85,0
CS30,Negative,95.871,23.12,12,1.384083045,M,D,P,0,50.82,6.995,41.8,13,56.59938786,-1.287585531,2,85,0
CS31,Negative,95.871,23.12,12,1.384083045,M,D,P,0,50.82,6.995,41.8,13,6.958103858,-11.7495785,2,85,0
CS32,Negative,95.871,23.12,12,1.384083045,M,D,P,0,50.82,6.995,41.8,13,-43.31722125,-5.893628854,2,85,0
CS33,Negative,95.871,23.12,12,1.384083045,M,D,P,0,50.82,6.995,41.8,13,-43.31722125,-5.893628854,2,85,0
CS34,Negative,95.871,23.12,12,1.384083045,M,D,P,0,50.82,6.995,41.8,13,56.59938786,-1.287585531,2,85,0
CS37,Negative,95.871,23.12,12,1.384083045,M,D,P,0,50.82,6.995,41.8,13,5.379351899,28.19620324,2,85,0
CS39,Negative,95.871,23.12,12,1.384083045,F,D,P,0,50.82,6.995,41.8,13,56.59938786,-1.287585531,2,85,0
CS40,Negative,95.871,23.12,12,1.384083045,M,D,P,0,50.82,6.995,41.8,13,56.59938786,-1.287585531,2,85,0
CS55,Positive,95.335,48.363,14,0.661662841,F,D,P,0,132.71,6.995,41.8,7,5.379351899,28.19620324,2,92,1.98
CS56,Positive,95.335,48.363,14,0.661662841,F,D,P,0,132.71,6.995,41.8,7,6.958103858,-11.7495785,2,92,1.63
CS60,Positive,95.335,48.363,14,0.661662841,F,D,P,0,132.71,6.995,41.8,7,6.958103858,-11.7495785,2,92,1.63
CS61,Negative,95.335,48.363,14,0.661662841,F,D,P,0,132.71,6.995,41.8,7,6.168605961,-3.268899219,2,92,1.27
CS62,Positive,95.335,48.363,14,0.661662841,F,D,P,0,132.71,6.995,41.8,7,-43.31722125,-5.893628854,2,92,1.41
CS76,Positive,95.335,48.363,14,0.661662841,M,D,P,0,46.45833333,6.995,41.8,7,56.59938786,-1.287585531,2,92,0
CS77,Negative,95.335,48.363,14,0.661662841,F,D,P,0,46.45833333,6.995,41.8,7,56.59938786,-1.287585531,2,92,0
CS82,Negative,95.335,48.363,14,0.661662841,F,D,P,0,46.45833333,6.995,41.8,7,6.958103858,-11.7495785,2,92,0
